tweet_id,author_id,author_username,text,created_at,retweet_count,like_count,reply_count,quote_count,impression_count,lang,conversation_id,is_reply,is_retweet,is_quote,hashtags,query_matched,polarity,subjectivity,word_count,collection_method,scraped_at
a1f3b93146f953f8,,bbalkus,Replying to @KrissyQuark Teachers in the US make more money receive loan forgiveness for college debt get generous pensions for life,Mar 3,5,80,1,80,0,en,,True,False,False,,student loan forgiveness teacher,0.5,0.5,21,nitter_browser,2026-03-23T22:41:11.220939
21eb3ec358de1c01,,MillerExtraLite,Replying to @ThomasSowell She is a teacher she would be eligible for Public Student Loan Forgiveness,Feb 24,0,14,14,0,0,en,,True,False,False,,student loan forgiveness teacher,0.0,0.066667,16,nitter_browser,2026-03-23T22:41:11.220939
54059aeba8a2448a,,marysaghost,As of yesterday and thanks to my teacher loan forgiveness application FINALLY getting approved I am now finally finished paying off my student loans I am so grateful,Feb 24,316,316,4,0,0,en,,False,False,False,,student loan forgiveness teacher,0.066667,0.733333,28,nitter_browser,2026-03-23T22:41:11.220939
833db2824bbe8c47,,CollegeInvestin,The complete list of Teacher Loan Forgiveness programs How Teachers Can Get Their Student Loans Forgiven including PSLF Teacher Loan Forgiveness Perkins Forgiveness and more,Feb 23,0,81,81,0,0,en,,False,False,False,,student loan forgiveness teacher,0.3,0.45,25,nitter_browser,2026-03-23T22:41:11.220939
b5d13877c37921ef,,selinawangtv,Student loan scams are rising as the Trump administration winds down forgiveness programs A NYC public school teacher says she lost thousands,Feb 17,11,3214,7,44,3214,en,,False,False,False,,student loan forgiveness teacher,-0.077778,0.177778,22,nitter_browser,2026-03-23T22:41:11.220939
d9361542a3a7b7cb,,grok,Replying to @floridatechgirl Teacher Loan Forgiveness maxes at 5000 for most elementary teachers vs up to 17500 for high-need fields,Feb 15,13,13,1,0,0,en,,True,False,False,,student loan forgiveness teacher,0.4,0.7,20,nitter_browser,2026-03-23T22:41:11.220939
de169b3a76560e23,,grok,Replying to @sirkmayor Yes student loan forgiveness is still available through programs like PSLF teacher forgiveness and disability discharges major changes take effect July 1 2026,Feb 13,0,162,162,0,0,en,,True,False,False,,student loan forgiveness teacher,0.23125,0.45,26,nitter_browser,2026-03-23T22:41:11.221926
c381de051e566eb5,,sjperryCA,Canadas national student loan forgiveness program has been expanded for more occupations in rural areas NEW Dentist Educator Midwife Pharmacist Social Worker and Teacher,Feb 6,88,88,1,0,0,en,,False,False,False,,student loan forgiveness teacher,0.167424,0.255303,24,nitter_browser,2026-03-23T22:41:11.221926
b5defc83fb425b87,,JPAL_NA,Student debt is a significant burden for teachers Although the US government provides loan forgiveness programs take-up is low,Feb 6,0,54,54,0,0,en,,False,False,False,,student loan forgiveness teacher,0.1875,0.5875,19,nitter_browser,2026-03-23T22:41:11.221926
26289b75f80a0135,,RealMarkVictor,Replying to @usedgov Why does it take 18 plus months to process a buyback request for the PSLF program,Mar 19,133,133,1,0,0,en,,True,False,False,,PSLF buyback,0.0,0.0,19,nitter_browser,2026-03-23T22:41:11.221926
