institution,state,city,n_unique_programs,n_specialties,total_quota_5y,annual_residents_pgy1,avg_fill_rate,ntee_code,ntee_top_level,propublica_sub_name,university_affiliation,academic_med_center,pslf_class_propublica,subsec_code
MyMichigan Med Ctr Midland,MI,Midland,2,1,40,8.0,0.6666666666666666,,,,False,False,pslf_eligible_501c3,3.0
NCH Healthcare Sys,FL,Naples,2,2,109,21.8,0.9833333333333334,,,,False,False,no_propublica_match,
NYCOMEC,NY,Old Westbury,1,1,7,1.4,1.0,B90Z,B,Nycomec Corp,True,False,pslf_eligible_501c3,3.0
NYMC-Landmark Med Ctr,RI,Woonsocket,2,1,58,11.6,0.7,,,,False,False,no_propublica_match,
NYMC-Metropolitan Hosp Ctr,NY,Valhalla,12,8,357,71.4,0.9801000281769513,,,,False,False,no_propublica_match,
NYMC-St Josephs Med Ctr,NY,Valhalla,2,2,62,12.4,1.0,,,St Josephs,False,False,no_propublica_match,
NYMC-St Marys and St Clares,NY,Denville,4,3,141,28.2,0.8657894736842104,P2C,P,St Marys St Marys,False,False,no_propublica_match,
NYMC-St Michaels Med Ctr,NJ,Newark,2,1,98,19.6,1.0,,,,False,False,no_propublica_match,
NYMC-Westchester/Metropolitan,NY,Valhalla,2,1,5,1.0,1.0,,,,False,False,no_propublica_match,
NYP Brooklyn Methodist Hosp,NY,Brooklyn,9,6,396,79.2,0.8942744755244756,,,,False,False,no_propublica_match,
NYP Hosp-Columbia & Cornell,NY,New York,3,3,147,29.4,1.0,,,,True,False,no_propublica_match,
NYP Hosp-Columbia Univ Med Ctr,NY,New York,27,18,892,178.4,0.9424435028248587,,,,True,False,no_propublica_match,
NYP Hosp-Weill Cornell Med Ctr,NY,New York,21,14,753,150.6,0.9853535353535353,,,,True,False,no_propublica_match,
NYU Grossman Long Island SOM,NY,Mineola,15,8,379,75.8,0.9442982456140352,,,,True,True,no_propublica_match,
NYU Grossman School Of Medicine,NY,New York,70,22,1487,297.4,0.9800524934383202,,,,True,True,no_propublica_match,
Nassau Univ Med Ctr,NY,East Meadow,23,12,717,143.4,0.836996336996337,,,,True,False,pslf_eligible_501c3,3.0
Nationwide Childrens Hosp,OH,Columbus,60,24,1797,359.4,0.9551937441643323,E240,E,Nationwide Childrens Hospital Inc Nationwide Childrens Hospital,False,False,pslf_eligible_501c3,3.0
Natividad Med Ctr,CA,Salinas,1,1,50,10.0,0.8,S80,S,Natividad Association Global Natividad,False,False,pslf_eligible_501c3,3.0
Natl Insts of Health,MD,Bethesda,2,2,20,4.0,1.0,,,,False,False,no_propublica_match,
Nazareth Hospital,PA,Philadelphia,5,4,128,25.6,0.7936507936507937,,,Nazareth,False,False,pslf_eligible_501c3,3.0
Nemours Childrens Hosp,FL,Orlando,1,1,68,13.6,1.0,,,The Auxiliary Of Nemours Childrens Hospital Delaware,False,False,pslf_eligible_501c3,3.0
New Bridge Med Ctr,NJ,Paramus,1,1,35,7.0,1.0,P7A,P,New Bridge,False,False,pslf_eligible_501c3,3.0
New Hanover Reg Med Ctr,NC,Wilmington,12,5,139,27.8,0.8353174603174603,,,New Jersey Education Association Hanover Park Reg Ea,False,False,pslf_unclear_other_subsec,5.0
Newton-Wellesley Hosp,MA,Newton,1,1,30,6.0,0.9666666666666667,E11,E,Newton Wellesley Hospital Auxiliary Inc,False,False,pslf_eligible_501c3,3.0
Niagara Falls Mem Med Ctr,NY,Niagara Falls,1,1,20,4.0,1.0,,,,False,False,no_propublica_match,
Nicklaus Childrens Hospital-Miami,FL,Miami,3,2,141,28.2,0.9925925925925926,,,,False,False,pslf_eligible_501c3,3.0
North Country HealthCare,AZ,Flagstaff,1,1,20,4.0,0.85,,,North County,False,False,pslf_eligible_501c3,3.0
North East Medical Services,CA,Daly City,1,1,15,3.0,1.0,E300,E,North East Medical Services,False,False,pslf_eligible_501c3,3.0
North Oaks Med Ctr LLC,LA,Hammond,2,2,24,4.8,0.4166666666666667,,,,False,False,no_propublica_match,
North Shore Med Ctr/Salem Hosp,MA,Salem,3,1,34,6.8,1.0,,,,False,False,no_propublica_match,
Northside Hospital Gwinnett,GA,Lawrenceville,4,3,155,31.0,0.8472222222222222,,,,False,False,no_propublica_match,
Northwestern McGaw/Lurie Childrens,IL,Chicago,3,2,187,37.4,1.0,,,,True,False,no_propublica_match,
Northwestern McGaw/NMH/VA,IL,Chicago,32,20,967,193.4,0.9777199074074073,,,,True,False,no_propublica_match,
Northwestern McGaw/SRAL,IL,Chicago,4,2,62,12.4,1.0,,,,True,False,no_propublica_match,
Norton Community Hosp,VA,Norton,1,1,9,1.8,0.4444444444444444,Y50,Y,Norton Community Club,False,False,pslf_eligible_501c3,3.0
Norwalk Hospital,CT,Norwalk,2,2,70,14.0,1.0,N63,N,Norwalk Stingrays,False,False,pslf_eligible_501c3,3.0
Nova Southeastern University KPCOM,FL,Clearwater,3,2,56,11.2,0.9166666666666666,,,,True,False,no_propublica_match,
Novant Health,NC,Cornelius,1,1,30,6.0,1.0,E22,E,Novant Health Inc,False,False,pslf_eligible_501c3,3.0
Nuvance Health,NY,Lagrangerville,2,2,9,1.8,1.0,E11,E,Nuvance Health,False,False,pslf_eligible_501c3,3.0
Nuvance Health Consortium,NY,Poughkeepsie,17,11,397,79.4,0.9311224489795918,E11,E,Nuvance Health,False,False,no_propublica_match,
OBH Brookdale Univ Hosp Med Ctr,NY,Brooklyn,4,3,141,28.2,0.8162698412698413,,,,True,False,no_propublica_match,
OBH Interfaith Med Ctr,NY,Brooklyn,1,1,33,6.6,1.0,,,,False,False,no_propublica_match,
OBH Kingsbrook Jewish Med Ctr,NY,Brooklyn,3,2,29,5.8,0.8636363636363636,P750,P,Jewish Home,False,False,no_propublica_match,
OMECO,OK,Tulsa,30,11,642,128.4,0.7720422982618105,P20,P,Omeko Experience Foundation,False,False,pslf_eligible_501c3,3.0
Oakland Integrated Healthcare Network,MI,Pontiac,1,1,12,2.4,0.6666666666666666,,,,False,False,pslf_eligible_501c3,3.0
Oakland Physicians Med Ctr,MI,Pontiac,1,1,2,0.4,1.0,,,,False,False,no_propublica_match,
Ocean University Med Ctr,NJ,Brick,7,4,210,42.0,0.9737654320987654,B82O,B,American Association Of University Women Northern Ocean County,True,False,pslf_eligible_501c3,3.0
Ochsner Clinic Foundation,LA,New Orleans,18,11,368,73.6,0.9583333333333334,E220,E,Ochsner Clinic Foundation,False,False,pslf_eligible_501c3,3.0
Ochsner Lafayette Gen Med Ctr,LA,Lafayette,1,1,6,1.2,1.0,,,,False,False,no_propublica_match,
Olive View-UCLA Med Ctr,CA,Sylmar,6,2,214,42.8,1.0,H00Z,H,Olive View Ucla Education And Research Institute Inc,False,True,pslf_eligible_501c3,3.0
Orlando Health,FL,Orlando,10,8,352,70.4,0.8840579710144927,E210,E,Orlando Health Inc,False,False,pslf_eligible_501c3,3.0
Our Lady Of Lourdes,NY,Binghamton,2,2,68,13.6,1.0,,,Our Lady Of Lourdes Chireno Our Lady Of Lourdes,False,False,pslf_eligible_501c3,3.0
Our Lady of the Lake Reg Med Ctr,LA,Baton Rouge,2,1,60,12.0,0.9583333333333334,,,,False,False,no_propublica_match,
PIH Health Hosp Downey,CA,Downey,1,1,34,6.8,0.9428571428571428,,,,False,False,pslf_eligible_501c3,3.0
Palm Beach Consortium for GME,FL,,4,4,27,5.4,0.6666666666666666,,,,False,False,no_propublica_match,
Palmetto General Hosp,FL,Hialeah,3,3,122,24.4,0.9059379217273954,,,General Federation Of Womens Clubs Of South Carolina Palmetto Womans Club,False,False,pslf_eligible_501c3,3.0
Parkview Health,IN,Fort Wayne,7,5,127,25.4,0.9220142602495544,E210,E,Parkview Health System Inc,False,False,pslf_eligible_501c3,3.0
Parkview Med Ctr,CO,Pueblo,1,1,50,10.0,1.0,,,Parkview Church Parkview Christian School,False,False,pslf_eligible_501c3,3.0
PeaceHealth Southwest Med Ctr,WA,Vancouver,1,1,40,8.0,1.0,E110,E,Peacehealth Southwest Medical Center Foundation,False,False,pslf_eligible_501c3,3.0
Penn Highlands Healthcare,PA,Dubois,2,2,46,9.2,0.7407407407407407,E12,E,Penn Highlands Healthcare,False,False,pslf_eligible_501c3,3.0
Penn State Hershey Med Ctr,PA,Hershey,37,20,985,197.0,0.9240675048545419,,,,False,False,no_propublica_match,
Penrose Hospital,CO,Colorado Springs,1,1,4,0.8,1.0,,,Penrose Foundation,False,False,pslf_eligible_501c3,3.0
Philadelphia Coll of Osteo Med,PA,Philadelphia,9,6,140,28.0,0.8225877192982456,,,,False,False,no_propublica_match,
Phoebe Putney Mem Hosp,GA,Albany,1,1,40,8.0,0.65,,,,False,False,no_propublica_match,
Phoenix Childrens Hospital,AZ,Phoenix,4,3,200,40.0,0.7692307692307693,K30,K,Phoenix Childrens Project,False,False,pslf_eligible_501c3,3.0
Piedmont Athens Regional,GA,Athens,2,2,153,30.6,0.76,E22I,E,Piedmont Athens Regional Auxiliary,False,False,pslf_eligible_501c3,3.0
Piedmont Columbus Regional,GA,Columbus,1,1,57,11.4,1.0,,,,False,False,no_propublica_match,
Piedmont Macon Med Ctr,GA,Macon,7,4,231,46.2,0.8563076923076923,E20,E,Piedmont Macon Hospital Inc,False,False,pslf_eligible_501c3,3.0
Pine Rest Christian Mental Hlth Svcs,MI,Grand Rapids,3,1,60,12.0,0.9545454545454546,X20,X,Christ Life Church Corpus Christi,False,False,no_propublica_match,
Pomona Valley Hosp,CA,Pomona,1,1,37,7.4,0.825,F80,F,Nami Pomona Valley,False,False,pslf_eligible_501c3,3.0
Ponce Health Sciences Univ SOM,PR,Ponce,1,1,30,6.0,1.0,,,,True,False,no_propublica_match,
Portsmouth Regional Hosp,NH,Portsmouth,3,3,114,22.8,0.7857142857142857,,,Portsmouth Catholic Regional,False,False,pslf_eligible_501c3,3.0
Poudre Valley Hospital,CO,Fort Collins,1,1,39,7.8,1.0,K99,K,Poudre Valley Community Farms,False,False,pslf_eligible_501c3,3.0
Presby Intercommunity Hosp,CA,Whittier,3,1,30,6.0,0.9153846153846155,Q33,Q,Community2 Community C2 C,False,False,no_propublica_match,
Presbyterian Hosp-Dallas,TX,Dallas,2,1,36,7.2,1.0,,,,False,False,pslf_eligible_501c3,3.0
Prime South Consortium,TX,Weslaco,3,1,56,11.2,1.0,,,,False,False,no_propublica_match,
Prime West Consortium,CA,Ontario,7,3,128,25.6,0.9260651629072681,,,,False,False,no_propublica_match,
Prime West/West Anaheim Med Ctr,CA,Anaheim,2,1,19,3.8,0.9333333333333332,,,,False,False,no_propublica_match,
ProHealth Waukesha Mem Hosp,WI,Waukesha,1,1,31,6.2,0.9333333333333332,,,,False,False,no_propublica_match,
Project Vida Health Ctr,TX,El Paso,1,1,6,1.2,1.0,,,,False,False,no_propublica_match,
Promedica Monroe Reg Hosp,MI,Monroe,3,3,64,12.8,0.6851851851851852,,,,False,False,no_propublica_match,
Providence Health,OR,Portland,6,2,170,34.0,0.9601851851851853,,,Providence Health Plan,False,False,pslf_eligible_501c3,3.0
Providence Hospital,AK,Anchorage,1,1,60,12.0,0.8333333333333334,B420,B,Providence College,True,False,pslf_eligible_501c3,3.0
Providence Sacred Heart Med Ctr,WA,Spokane,7,5,199,39.8,0.9769230769230769,,,Sacred Heart East Providence,False,False,pslf_eligible_501c3,3.0
Providence St Peter Hospital,WA,Olympia,3,1,61,12.2,0.861904761904762,B420,B,Providence College,True,False,no_propublica_match,
Puyallup Tribal Health Authority,WA,Tacoma,1,1,20,4.0,0.65,E320,E,Puyallup Tribal Health Authority,False,False,pslf_eligible_501c3,3.0
Quincy Fam Prac Ctr,IL,Quincy,1,1,30,6.0,0.8333333333333333,,,,False,False,no_propublica_match,
Quinnipiac Univ/Netter MD SOM,CT,Hamden,4,3,28,5.6,1.0,,,,True,False,no_propublica_match,
RFUMS/Chicago Medical School,IL,North Chicago,3,2,142,28.4,1.0,,,,True,False,no_propublica_match,
Rapid City Hospital,SD,Rapid City,10,8,217,43.4,0.925,,,Elevate Rapid City,False,False,pslf_eligible_501c3,3.0
Rapides Reg Med Ctr,LA,Shreveport,1,1,30,6.0,0.9,,,,False,False,no_propublica_match,
Rehoboth McKinley CHCS,NM,Gallup,31,19,848,169.6,0.9367829021372329,,,,False,False,no_propublica_match,
Richmond Univ Med Ctr,NY,Staten Island,6,5,222,44.4,0.8555555555555556,,,,True,False,pslf_eligible_501c3,3.0
Riverside Community Hospital,CA,Riverside,12,9,427,85.4,0.8820754716981132,S99,S,Riverside Community,False,False,pslf_eligible_501c3,3.0
Riverside Medical Ctr,IL,Kankakee,2,2,40,8.0,1.0,,,,False,False,no_propublica_match,
Riverside Reg Med Ctr,VA,Newport News,5,5,201,40.2,0.979458041958042,,,,False,False,no_propublica_match,
Riverside University Health Sys,CA,Moreno Valley,13,10,326,65.2,0.9142424242424242,,,,True,True,no_propublica_match,
Rochester Gen Hosp,NY,Rochester,7,6,226,45.2,0.9483870967741935,,,,False,False,pslf_eligible_501c3,3.0
Rochester Regional Health/Unity Hosp,NY,Rochester,4,2,103,20.6,0.7435897435897435,,,,False,False,no_propublica_match,
Roger Williams Med Ctr,RI,Providence,3,1,92,18.4,0.95,B430,B,Roger Williams University,True,False,pslf_eligible_501c3,3.0
Roseburg Family Medicine,OR,Roseburg,1,1,40,8.0,0.85,,,,False,False,no_propublica_match,
Rowan University SOM,NJ,Stratford,4,4,48,9.6,0.8448412698412698,,,,True,False,no_propublica_match,
Rush University Med Ctr,IL,Chicago,25,20,811,162.2,0.9553164387235183,E22,E,Rush University Medical Center,True,True,pslf_eligible_501c3,3.0
Rush-Copley Mem Hosp,IL,Aurora,1,1,20,4.0,0.7,,,,False,False,no_propublica_match,
Rutgers-Community Med Ctr,NJ,,9,4,160,32.0,0.9492753623188406,,,Rutgers Community Christian Church,True,False,pslf_eligible_501c3,3.0
Rutgers-Cooperman Barnabas Med Ctr,NJ,Livingston,2,2,58,11.6,1.0,,,,True,False,no_propublica_match,
Rutgers-Jersey City Med Ctr,NJ,Jersey City,3,3,123,24.6,1.0,,,,True,False,no_propublica_match,
Rutgers-Monmouth Med Ctr,NJ,Long Branch,31,19,888,177.6,0.9438392835922248,O52,O,Rutgers The State University Of Nj Monmouth Blasters 4 H Club,True,False,pslf_eligible_501c3,3.0
Rutgers-Newark Beth Israel Med Ctr,NJ,Newark,7,5,202,40.4,0.9017857142857143,,,,True,False,no_propublica_match,
Rutgers-R W Johnson Medical School,NJ,New Brunswick,27,18,607,121.4,0.9413943355119826,,,,True,False,no_propublica_match,
Rutgers-RWJUH Somerset,NJ,Somerville,1,1,35,7.0,0.9714285714285713,,,,True,False,no_propublica_match,
Rutgers-Trinitas Med Ctr,NJ,Elizabeth,2,2,32,6.4,1.0,,,,True,False,no_propublica_match,
SIU Carbondale,IL,Carbondale,1,1,30,6.0,1.0,,,,False,False,no_propublica_match,
SIU Decatur,IL,Decatur,1,1,25,5.0,0.6,,,,False,False,no_propublica_match,
SIU SOM & Affil Hosps,IL,Springfield,19,16,425,85.0,0.9949074074074075,,,,False,False,no_propublica_match,
SSM Health/St Louis Univ SOM,MO,St Louis,25,19,696,139.2,0.9619047619047619,,,,True,False,no_propublica_match,
SSM St Marys Hospital-St Louis,MO,St Louis,2,2,50,10.0,1.0,P2C,P,St Marys St Marys,False,False,no_propublica_match,
SUNY HSC Brooklyn,NY,Brooklyn,57,19,1978,395.6,0.9374737114737114,,,,False,False,no_propublica_match,
SW Healthcare Med Ed Consortium,CA,Temecula,9,6,296,59.2,0.9132478632478632,,,,False,False,no_propublica_match,
Sam Houston State Univ COM,TX,Conroe,2,2,21,4.2,0.8333333333333334,X50,X,Kwekabaw Buddhist Society Of Housto Houston Tx,True,False,no_propublica_match,
Samaritan Health Services-Corvallis,OR,Corvallis,11,6,170,34.0,0.9208037825059102,,,Samaritans Southaven Samaritans,False,False,no_propublica_match,
Samaritan Med Ctr,NY,Watertown,2,2,21,4.2,0.7333333333333333,,,Samaritans Southaven Samaritans,False,False,pslf_eligible_501c3,3.0
San Antonio Regional Hosp,CA,Upland,1,1,10,2.0,1.0,E220,E,San Antonio Regional Hospital,False,False,pslf_eligible_501c3,3.0
San Joaquin Gen Hosp,CA,French Camp,5,3,124,24.8,0.9393939393939394,,,,False,False,pslf_eligible_501c3,3.0
San Juan VA Med Ctr,PR,San Juan,3,2,146,29.2,1.0,,,,False,False,pslf_eligible_gov,
San Mateo Behavioral Hlth & Recovery Svcs,CA,San Mateo,1,1,20,4.0,1.0,,,,False,False,no_propublica_match,
San Ysidro Health,CA,San Ysidro,1,1,30,6.0,0.9333333333333333,E11,E,San Ysidro Health Community Services Inc,False,False,pslf_eligible_501c3,3.0
Santa Barbara Cottage Hosp,CA,Santa Barbara,5,4,136,27.2,1.0,E220,E,Santa Barbara Cottage Hospital,False,False,pslf_eligible_501c3,3.0
Santa Clara Valley Med Ctr,CA,San Jose,6,4,241,48.2,0.967929292929293,C300,C,Santa Clara Valley Bird Alliance,False,False,pslf_eligible_501c3,3.0
Schwab Rehab Hosp,IL,Chicago,2,1,26,5.2,1.0,,,,False,False,no_propublica_match,
Scripps Clinic/Green Hospital,CA,La Jolla,2,1,75,15.0,1.0,,,,False,False,no_propublica_match,
Scripps Mercy Hosp-Chula Vista,CA,Chula Vista,1,1,45,9.0,1.0,P28,P,Mercy Association Mercy Cooperation,False,False,no_propublica_match,
Scripps Mercy Hosp-San Diego,CA,San Diego,4,2,160,32.0,1.0,P28,P,Mercy Association Mercy Cooperation,False,False,no_propublica_match,
Sea Mar Community Health Ctrs,WA,Seattle,1,1,44,8.8,0.975,E20,E,Unity Health,False,False,no_propublica_match,
Self Regional Healthcare,SC,Greenwood,1,1,50,10.0,0.9800000000000001,E20,E,Self Regional Healthcare,False,False,pslf_eligible_501c3,3.0
Shannon Medical Center,TX,San Angelo,4,3,62,12.4,0.7638888888888888,,,Shannon Baptist Church,False,False,pslf_eligible_501c3,3.0
Shasta Community Health Ctr,CA,Redding,1,1,19,3.8,0.9,E20,E,Unity Health,False,False,no_propublica_match,
Sierra View Med Ctr,CA,Porterville,2,1,78,15.6,0.6616666666666666,,,Sierra View Homes,False,False,pslf_eligible_501c3,3.0
Sinai Hospital of Baltimore,MD,Baltimore,9,6,231,46.2,0.9761904761904762,,,,False,False,pslf_eligible_501c3,3.0
Siouxland Med Ed Fdn,IA,Sioux City,33,22,806,161.2,0.9557995495495496,,,,False,False,no_propublica_match,
Skagit Regional Health,WA,Mount Vernon,2,2,57,11.4,0.85,,,,False,False,no_propublica_match,
South Baldwin Reg Med Ctr,AL,Foley,1,1,19,3.8,0.75,,,,False,False,no_propublica_match,
South Brooklyn Health.,NY,Brooklyn,5,5,201,40.2,0.9126984126984128,E22I,E,South Brooklyn Health Auxlliary Inc,False,False,pslf_eligible_501c3,3.0
Southeast Health,AL,Dothan,2,2,125,25.0,0.8896011396011397,E11,E,Southwest Health,False,False,pslf_eligible_501c3,3.0
Southern Regional AHEC,NC,Fayetteville,43,24,1059,211.8,0.9500789265982637,,,,False,False,no_propublica_match,
Southern Winds Hospital,FL,Hialeah,1,1,20,4.0,1.0,A6C,A,Southern Illinois Symphonic Winds,False,False,pslf_eligible_501c3,3.0
Sovah Health-Danville,VA,Danville,41,21,881,176.2,0.9446729957805907,,,,False,False,no_propublica_match,
Sparrow Hospital,MI,Lansing,1,1,1,0.2,0.0,X20,X,Sparrow,False,False,pslf_eligible_501c3,3.0
Spartanburg Medical Center,SC,Spartanburg,5,4,124,24.8,0.746031746031746,,,Spartanburg Philharmonic,False,False,pslf_eligible_501c3,3.0
Spokane Teaching Health Ctr,WA,Spokane Valley,5,3,28,5.6,0.8666666666666666,,,,False,False,no_propublica_match,
St Agnes Hospital,MD,Baltimore,57,21,1386,277.2,0.9620696763553906,,,St Agnes,False,False,pslf_eligible_501c3,3.0
St Agnes Med Ctr,CA,Fresno,4,4,230,46.0,0.9432692307692309,,,St Agnes,False,False,pslf_eligible_501c3,3.0
St Anthony Hospital,OK,Oklahoma City,38,19,986,197.2,0.9591244725738396,,,Church Of St Anthony   St Anthony Parish,False,False,pslf_eligible_501c3,3.0
St Anthony Hospital North,CO,Westminister,2,1,20,4.0,1.0,,,Church Of St Anthony   St Anthony Parish,False,False,pslf_eligible_501c3,3.0
St Barnabas Hosp,NY,Bronx,5,5,148,29.6,0.8213333333333332,,,St Barnabas,False,False,pslf_eligible_501c3,3.0
St Bernards Med Ctr,AR,Jonesboro,28,21,792,158.4,0.9418969696969697,,,St Bernards Congregation St Bernard School,False,False,pslf_eligible_501c3,3.0
St Clair Health,PA,Pittsburgh,2,2,20,4.0,0.6041666666666667,E21,E,St Clair Health Corporation,False,False,pslf_eligible_501c3,3.0
St Davids Healthcare GME,TX,Austin,2,2,45,9.0,1.0,O50,O,St Davids,False,False,pslf_eligible_501c3,3.0
St Elizabeth Health Ctr-Boardman,OH,Boardman,3,3,76,15.2,0.9555555555555556,,,St Elizbeth Parish St Elizabeth Parish,False,False,no_propublica_match,
St Elizabeth Med Ctr,KY,Edgewood,41,22,1079,215.8,0.9206130452180873,,,St Elizbeth Parish St Elizabeth Parish,False,False,pslf_eligible_501c3,3.0
St Elizabeth Youngstown Hosp,OH,Youngstown,5,5,129,25.8,0.96,E03,E,St Elizabeth Youngstown Medical Staff,False,False,pslf_unclear_other_subsec,6.0
St Elizabeths Hospital/DBH,DC,Washington,22,11,550,110.0,0.9855555555555556,B20,B,St Elizabeths School,True,True,no_propublica_match,
St Elizabeths Med Ctr,MA,Boston,9,4,239,47.8,0.8310975609756098,B20,B,St Elizabeths School,True,False,pslf_eligible_501c3,3.0
St Francis Hospital,CT,Hartford,2,2,55,11.0,0.9833333333333334,,,St Francis Church St Francis School,False,False,pslf_eligible_501c3,3.0
St Francis Med Ctr,LA,Monroe,2,1,65,13.0,1.0,,,St Francis Church St Francis School,False,False,pslf_eligible_501c3,3.0
St Francis-Emory Healthcare,GA,Columbus,2,2,54,10.8,0.5714285714285715,,,St Francis Church St Francis School,False,False,no_propublica_match,
St Johns Riverside Hospital,NY,Yonkers,3,2,113,22.6,0.877037037037037,E220,E,St Johns Riverside Hospital,False,False,pslf_eligible_501c3,3.0
St Joseph Hospital SCL Health,CO,Denver,8,4,223,44.6,0.9405381944444444,,,,False,False,no_propublica_match,
St Joseph Hospital-Eureka,CA,Eureka,1,1,32,6.4,0.8666666666666666,,,,False,False,pslf_eligible_501c3,3.0
St Josephs Health,NY,Syracuse,2,2,98,19.6,0.9380952380952381,Z99,Z,St Josephs Health Fund,False,False,pslf_eligible_501c3,3.0
St Josephs Hospital,WA,Tacoma,1,1,4,0.8,1.0,,,St Josephs,False,False,pslf_eligible_501c3,3.0
St Josephs Med Ctr,CA,Stockton,9,8,312,62.4,0.9681372549019607,,,St Josephs,False,False,pslf_eligible_501c3,3.0
St Josephs Reg Med Ctr,IN,Mishawaka,1,1,45,9.0,0.9333333333333333,,,St Josephs,False,False,no_propublica_match,
St Josephs Univ Med Ctr,NJ,Paterson,11,8,314,62.8,0.9181818181818182,,,St Josephs,True,False,pslf_eligible_501c3,3.0
St Louis Childrens Hosp,MO,St Louis,5,3,198,39.6,0.9396914446002805,,,St Louis Childrens Choirs,False,False,pslf_eligible_501c3,3.0
St Louis Univ SOM,MO,St Louis,2,2,2,0.4,1.0,,,,True,False,no_propublica_match,
St Lukes Hosp-Anderson,PA,Easton,16,11,303,60.6,0.9340016708437762,,,St Lukes,False,False,pslf_eligible_501c3,3.0
St Lukes Hosp-Bethlehem,PA,Bethlehem,10,8,279,55.8,0.963768115942029,,,St Lukes,False,False,pslf_eligible_501c3,3.0
St Lukes Hospital,OH,Maumee,1,1,6,1.2,0.5,,,St Lukes,False,False,pslf_eligible_501c3,3.0
St Lukes Hospital-St Louis,MO,Chesterfield,2,1,80,16.0,1.0,,,St Lukes,False,False,no_propublica_match,
St Lukes Warren Hospital,NJ,Phillipsburg,1,1,30,6.0,1.0,E220,E,St Lukes Warren Hospital Inc,False,False,pslf_eligible_501c3,3.0
St Mary Med Ctr-Langhorne,PA,Philadelphia,1,1,59,11.8,1.0,,,,False,False,pslf_eligible_501c3,3.0
St Mary Med Ctr-Long Beach,CA,Long Beach,3,1,77,15.4,0.768939393939394,,,,False,False,pslf_eligible_501c3,3.0
St Mary-Corwin Med Ctr,CO,Pueblo,2,1,16,3.2,1.0,,,,False,False,no_propublica_match,
St Marys Hospital,CT,Waterbury,4,2,89,17.8,1.0,P2C,P,St Marys St Marys,False,False,pslf_eligible_501c3,3.0
St Marys Med Ctr SCL Health,CO,Grand Junction,1,1,45,9.0,1.0,P2C,P,St Marys St Marys,False,False,no_propublica_match,
St Peters University Hosp,NJ,New Brunswick,4,3,149,29.8,0.9375,,,University Club Of St Pete,True,False,pslf_eligible_501c3,3.0
St Vincent Charity Med Ctr,OH,Cleveland,1,1,29,5.8,1.0,,,St Vincent Charity Development Foundation,False,False,pslf_eligible_501c3,3.0
St Vincent Hosp-Worcester,MA,Worcester,3,2,153,30.6,0.9833333333333333,,,,False,False,pslf_eligible_501c3,3.0
St Vincents East,AL,Birmingham,1,1,40,8.0,1.0,E220,E,St Vincents East,False,False,pslf_eligible_501c3,3.0
St Vincents Med Ctr,CT,Bridgeport,5,3,148,29.6,1.0,,,St Vincent,False,False,pslf_eligible_501c3,3.0
Stamford Hospital/Columbia,CT,Stamford,29,16,994,198.8,0.9573412698412699,,,,True,False,pslf_unclear_other_subsec,8.0
Stanford Health Care,CA,Stanford,47,24,1299,259.8,0.9833877995642701,P12,P,Stanford Open,True,True,pslf_eligible_501c3,3.0
Stanford Health Care Tri-Valley,CA,Pleasanton,1,1,8,1.6,1.0,P12,P,Stanford Open,True,True,pslf_eligible_501c3,3.0
Stanford Univ Progs,CA,Stanford,1,1,1,0.2,1.0,P12,P,Stanford Open,True,True,no_propublica_match,
Steward Carney Hospital,MA,Boston,3,2,62,12.4,0.9345238095238096,,,,False,False,pslf_ineligible_for_profit,
Still OPTI-MCW/Prevea FMRP,WI,Green Bay,41,22,928,185.6,0.9250814909297053,,,,False,False,no_propublica_match,
Still OPTI-Northeast Reg Med Ctr,MO,Kirksville,19,14,559,111.8,0.8920454545454546,,,,False,False,no_propublica_match,
Still OPTI-Peak Vista FMRP,CO,Colorado Springs,52,21,1209,241.8,0.9286646825396825,,,,False,False,no_propublica_match,
Stony Brook Teach Hosps,NY,Stony Brook,48,24,864,172.8,0.9432965238354459,,,,False,False,no_propublica_match,
