state,year,n,mean_polarity,sd_polarity,pct_negative
NE,2024,11,0.10458,0.17105,9.09091
NE,2025,6,0.05233,0.11667,16.66667
NH,2020,3,0.15556,0.04441,0.00000
NH,2021,3,0.16981,0.06523,0.00000
NH,2022,3,0.07998,0.05795,0.00000
NH,2023,1,0.08396,,0.00000
NH,2024,3,0.06363,0.05719,0.00000
NH,2025,6,0.06655,0.07402,16.66667
NJ,2018,6,0.11087,0.07802,0.00000
NJ,2019,9,0.10142,0.07823,11.11111
NJ,2020,3,0.15335,0.01595,0.00000
NJ,2021,10,0.09001,0.04135,0.00000
NJ,2022,10,0.12369,0.07415,0.00000
NJ,2023,14,0.02635,0.12479,21.42857
NJ,2024,20,0.11307,0.08992,5.00000
NJ,2025,27,0.08270,0.08664,3.70370
NM,2018,1,0.04758,,0.00000
NM,2019,2,0.04420,0.03430,0.00000
NM,2020,3,0.09195,0.05345,0.00000
NM,2021,4,0.17486,0.10228,0.00000
NM,2022,5,0.04656,0.05421,0.00000
NM,2023,1,0.14563,,0.00000
NM,2024,2,0.14030,0.05643,0.00000
NM,2025,9,0.10969,0.09871,0.00000
NV,2018,2,0.02379,0.03364,0.00000
NV,2019,2,0.05237,0.04585,0.00000
NV,2020,2,0.08526,0.03747,0.00000
NV,2021,2,0.13910,0.12951,0.00000
NV,2022,4,0.04194,0.09488,25.00000
NV,2023,5,0.13230,0.08249,0.00000
NV,2024,4,0.05414,0.02423,0.00000
NV,2025,8,0.09166,0.08667,0.00000
NY,2018,12,0.08901,0.09553,8.33333
NY,2019,11,0.10449,0.08877,0.00000
NY,2020,36,0.10252,0.10811,2.77778
NY,2021,33,0.06496,0.09470,6.06061
NY,2022,59,0.09939,0.12326,6.77966
NY,2023,61,0.09515,0.10336,4.91803
NY,2024,45,0.10233,0.08092,4.44444
NY,2025,91,0.10222,0.15591,2.19780
OH,2018,4,0.09140,0.15251,25.00000
OH,2019,4,0.08767,0.09339,0.00000
OH,2020,9,0.16202,0.20810,0.00000
OH,2021,4,0.05413,0.04215,0.00000
OH,2022,25,0.05866,0.05711,8.00000
OH,2023,17,0.09955,0.07715,0.00000
OH,2024,20,0.10509,0.09142,0.00000
OH,2025,50,0.09364,0.07875,4.00000
OK,2018,11,0.05977,0.08774,9.09091
OK,2019,11,0.12385,0.07058,0.00000
OK,2020,5,0.09727,0.07446,0.00000
OK,2021,22,0.12119,0.08494,0.00000
OK,2022,52,0.12896,0.13713,1.92308
OK,2023,61,0.14368,0.13610,3.27869
OK,2024,58,0.14326,0.13709,5.17241
OK,2025,60,0.10044,0.08944,5.00000
OR,2018,19,0.06300,0.12755,10.52632
OR,2019,19,0.10932,0.08822,5.26316
OR,2020,33,0.09566,0.07970,0.00000
OR,2021,47,0.13812,0.11004,2.12766
OR,2022,94,0.09568,0.10729,7.44681
OR,2023,129,0.06456,0.13501,13.95349
OR,2024,101,0.07708,0.09635,5.94059
OR,2025,161,0.06982,0.09897,11.18012
PA,2018,34,0.08718,0.15870,5.88235
PA,2019,44,0.06668,0.08744,11.36364
PA,2020,74,0.10808,0.08301,1.35135
PA,2021,113,0.07330,0.14787,12.38938
PA,2022,70,0.07688,0.11402,5.71429
PA,2023,145,0.09693,0.11186,7.58621
PA,2024,168,0.12726,0.12641,4.16667
PA,2025,338,0.11020,0.11957,3.84615
RI,2018,2,0.05250,0.03615,0.00000
RI,2022,2,0.02705,0.03826,0.00000
RI,2023,6,0.08195,0.07944,0.00000
RI,2024,2,0.07939,0.03943,0.00000
RI,2025,3,0.16247,0.07583,0.00000
SC,2018,2,0.04097,0.05793,0.00000
SC,2019,3,0.07274,0.06769,0.00000
SC,2020,3,0.08924,0.00650,0.00000
SC,2021,2,0.13964,0.00442,0.00000
SC,2022,22,0.08985,0.11544,13.63636
SC,2023,38,0.05303,0.23962,7.89474
SC,2024,21,0.10584,0.12418,4.76190
SC,2025,15,-0.03326,0.21187,33.33333
SD,2018,1,0.27000,,0.00000
SD,2020,1,0.27083,,0.00000
SD,2021,4,0.05411,0.06737,0.00000
SD,2022,7,0.02595,0.26286,28.57143
SD,2023,1,0.05956,,0.00000
SD,2024,3,0.12081,0.07257,0.00000
SD,2025,5,0.15117,0.09535,0.00000
TN,2018,3,0.09538,0.04379,0.00000
TN,2019,2,0.14334,0.04437,0.00000
TN,2020,6,0.05015,0.09331,0.00000
TN,2021,4,0.08652,0.03766,0.00000
TN,2022,3,0.08962,0.06552,0.00000
TN,2023,7,0.09403,0.08889,0.00000
TN,2024,7,0.08825,0.12215,14.28571
TN,2025,11,0.14998,0.10433,0.00000
TX,2018,8,0.07263,0.06613,0.00000
TX,2019,17,0.12340,0.06521,0.00000
TX,2020,21,0.10679,0.09346,0.00000
TX,2021,25,0.08370,0.10985,4.00000
TX,2022,66,0.08688,0.13082,6.06061
