institution,state,fy,normalized_query,parent_query,matched_org_name,total_award_amount,n_projects,match_strategy
Northwestern McGaw/SRAL,IL,2023,NORTHWESTERN MCGAW,,,0.0,0,no_match
Norton Community Hosp,VA,2023,NORTON COMMUNITY HOSP,,,0.0,0,no_match
Norwalk Hospital,CT,2023,NORWALK HOSPITAL,NORWALK,,0.0,0,no_match
Nova Southeastern University KPCOM,FL,2023,NOVA SOUTHEASTERN UNIVERSITY KPCOM,,,0.0,0,no_match
Novant Health,NC,2023,NOVANT HEALTH,,,0.0,0,no_match
Nuvance Health,NY,2023,NUVANCE HEALTH,,,0.0,0,no_match
Nuvance Health Consortium,NY,2023,NUVANCE HEALTH CONSORTIUM,NUVANCE HEALTH,,0.0,0,no_match
OBH Brookdale Univ Hosp Med Ctr,NY,2023,OBH BROOKDALE UNIVERSITY HOSP MEDICAL CENTER,OBH BROOKDALE UNIVERSITY HOSP,,0.0,0,no_match
OBH Interfaith Med Ctr,NY,2023,OBH INTERFAITH MEDICAL CENTER,OBH INTERFAITH,,0.0,0,no_match
OBH Kingsbrook Jewish Med Ctr,NY,2023,OBH KINGSBROOK JEWISH MEDICAL CENTER,OBH KINGSBROOK JEWISH,,0.0,0,no_match
OMECO,OK,2023,OMECO,,,0.0,0,no_match
Oakland Integrated Healthcare Network,MI,2023,OAKLAND INTEGRATED HEALTHCARE NETWORK,,,0.0,0,no_match
Oakland Physicians Med Ctr,MI,2023,OAKLAND PHYSICIANS MEDICAL CENTER,OAKLAND PHYSICIANS,,0.0,0,no_match
Ocean University Med Ctr,NJ,2023,OCEAN UNIVERSITY MEDICAL CENTER,OCEAN UNIVERSITY,,0.0,0,no_match
Ochsner Clinic Foundation,LA,2023,OCHSNER CLINIC FOUNDATION,,,0.0,0,no_match
Ochsner Lafayette Gen Med Ctr,LA,2023,OCHSNER LAFAYETTE GEN MEDICAL CENTER,OCHSNER LAFAYETTE GEN,,0.0,0,no_match
Olive View-UCLA Med Ctr,CA,2023,OLIVE VIEW-UCLA MEDICAL CENTER,OLIVE VIEW-UCLA,,0.0,0,no_match
Orlando Health,FL,2023,ORLANDO HEALTH,,,0.0,0,no_match
Our Lady Of Lourdes,NY,2023,OUR LADY OF LOURDES,,,0.0,0,no_match
Our Lady of the Lake Reg Med Ctr,LA,2023,OUR LADY OF THE LAKE REG MEDICAL CENTER,OUR LADY OF THE LAKE REG,,0.0,0,no_match
PIH Health Hosp Downey,CA,2023,PIH HEALTH HOSP DOWNEY,,,0.0,0,no_match
Palm Beach Consortium for GME,FL,2023,PALM BEACH CONSORTIUM FOR,PALM BEACH,,0.0,0,no_match
Palmetto General Hosp,FL,2023,PALMETTO GENERAL HOSP,,,0.0,0,no_match
Parkview Health,IN,2023,PARKVIEW HEALTH,,,0.0,0,no_match
Parkview Med Ctr,CO,2023,PARKVIEW MEDICAL CENTER,PARKVIEW,,0.0,0,no_match
PeaceHealth Southwest Med Ctr,WA,2023,PEACEHEALTH SOUTHWEST MEDICAL CENTER,PEACEHEALTH SOUTHWEST,,0.0,0,no_match
Penn Highlands Healthcare,PA,2023,PENN HIGHLANDS HEALTHCARE,,,0.0,0,no_match
Penn State Hershey Med Ctr,PA,2023,PENN STATE HERSHEY MEDICAL CENTER,PENN STATE HERSHEY,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,77194973.0,161,parent_institution_with_state
Penrose Hospital,CO,2023,PENROSE HOSPITAL,PENROSE,,0.0,0,no_match
Philadelphia Coll of Osteo Med,PA,2023,PHILADELPHIA COLL OF OSTEO MED,,PHILADELPHIA COLLEGE OF OSTEOPATHIC MED,151600.0,1,full_normalized_with_state
Phoebe Putney Mem Hosp,GA,2023,PHOEBE PUTNEY MEMORIAL HOSPITAL,PHOEBE PUTNEY,,0.0,0,no_match
Phoenix Childrens Hospital,AZ,2023,PHOENIX CHILDREN'S HOSPITAL,PHOENIX CHILDREN'S,PHOENIX CHILDREN'S HOSPITAL,913893.0,2,full_normalized_with_state
Piedmont Athens Regional,GA,2023,PIEDMONT ATHENS REGIONAL,PIEDMONT ATHENS,,0.0,0,no_match
Piedmont Columbus Regional,GA,2023,PIEDMONT COLUMBUS REGIONAL,PIEDMONT COLUMBUS,,0.0,0,no_match
Piedmont Macon Med Ctr,GA,2023,PIEDMONT MACON MEDICAL CENTER,PIEDMONT MACON,,0.0,0,no_match
Pine Rest Christian Mental Hlth Svcs,MI,2023,PINE REST CHRISTIAN MENTAL HLTH SVCS,,,0.0,0,no_match
Pomona Valley Hosp,CA,2023,POMONA VALLEY HOSP,,,0.0,0,no_match
Ponce Health Sciences Univ SOM,PR,2023,PONCE HEALTH SCIENCES UNIVERSITY SOM,,,0.0,0,no_match
Portsmouth Regional Hosp,NH,2023,PORTSMOUTH REGIONAL HOSP,PORTSMOUTH,,0.0,0,no_match
Poudre Valley Hospital,CO,2023,POUDRE VALLEY HOSPITAL,POUDRE VALLEY,,0.0,0,no_match
Presby Intercommunity Hosp,CA,2023,PRESBY INTERCOMMUNITY HOSP,,,0.0,0,no_match
Presbyterian Hosp-Dallas,TX,2023,PRESBYTERIAN HOSP-DALLAS,,,0.0,0,no_match
Prime South Consortium,TX,2023,PRIME SOUTH CONSORTIUM,PRIME SOUTH,,0.0,0,no_match
Prime West Consortium,CA,2023,PRIME WEST CONSORTIUM,PRIME WEST,,0.0,0,no_match
Prime West/West Anaheim Med Ctr,CA,2023,PRIME WEST,,,0.0,0,no_match
ProHealth Waukesha Mem Hosp,WI,2023,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,PROHEALTH WAUKESHA,,0.0,0,no_match
Project Vida Health Ctr,TX,2023,PROJECT VIDA HEALTH CTR,,,0.0,0,no_match
Promedica Monroe Reg Hosp,MI,2023,PROMEDICA MONROE REG HOSP,,,0.0,0,no_match
Providence Health,OR,2023,PROVIDENCE HEALTH,,,0.0,0,no_match
Providence Hospital,AK,2023,PROVIDENCE HOSPITAL,PROVIDENCE,,0.0,0,no_match
Providence Sacred Heart Med Ctr,WA,2023,PROVIDENCE SACRED HEART MEDICAL CENTER,PROVIDENCE SACRED HEART,,0.0,0,no_match
Providence St Peter Hospital,WA,2023,PROVIDENCE SAINT PETER HOSPITAL,PROVIDENCE SAINT PETER,,0.0,0,no_match
Puyallup Tribal Health Authority,WA,2023,PUYALLUP TRIBAL HEALTH AUTHORITY,,,0.0,0,no_match
Quincy Fam Prac Ctr,IL,2023,QUINCY FAM PRAC CTR,,,0.0,0,no_match
Quinnipiac Univ/Netter MD SOM,CT,2023,QUINNIPIAC UNIVERSITY,,,0.0,0,no_match
RFUMS/Chicago Medical School,IL,2023,RFUMS,,,0.0,0,no_match
Rapid City Hospital,SD,2023,RAPID CITY HOSPITAL,RAPID CITY,,0.0,0,no_match
Rapides Reg Med Ctr,LA,2023,RAPIDES REG MEDICAL CENTER,RAPIDES REG,,0.0,0,no_match
Rehoboth McKinley CHCS,NM,2023,REHOBOTH MCKINLEY CHCS,,,0.0,0,no_match
Richmond Univ Med Ctr,NY,2023,RICHMOND UNIVERSITY MEDICAL CENTER,RICHMOND UNIVERSITY,,0.0,0,no_match
Riverside Community Hospital,CA,2023,RIVERSIDE COMMUNITY HOSPITAL,RIVERSIDE COMMUNITY,,0.0,0,no_match
Riverside Medical Ctr,IL,2023,RIVERSIDE MEDICAL CTR,,,0.0,0,no_match
Riverside Reg Med Ctr,VA,2023,RIVERSIDE REG MEDICAL CENTER,RIVERSIDE REG,,0.0,0,no_match
Riverside University Health Sys,CA,2023,RIVERSIDE UNIVERSITY HEALTH SYS,,,0.0,0,no_match
Rochester Gen Hosp,NY,2023,ROCHESTER GEN HOSP,,,0.0,0,no_match
Rochester Regional Health/Unity Hosp,NY,2023,ROCHESTER REGIONAL HEALTH,ROCHESTER,UNIVERSITY OF ROCHESTER,220593778.0,517,parent_institution_with_state
Roger Williams Med Ctr,RI,2023,ROGER WILLIAMS MEDICAL CENTER,ROGER WILLIAMS,,0.0,0,no_match
Roseburg Family Medicine,OR,2023,ROSEBURG FAMILY MEDICINE,,,0.0,0,no_match
Rowan University SOM,NJ,2023,ROWAN UNIVERSITY SOM,,,0.0,0,no_match
Rush University Med Ctr,IL,2023,RUSH UNIVERSITY MEDICAL CENTER,RUSH UNIVERSITY,RUSH UNIVERSITY MEDICAL CENTER,77099367.0,122,full_normalized_with_state
Rush-Copley Mem Hosp,IL,2023,RUSH-COPLEY MEMORIAL HOSPITAL,RUSH-COPLEY,,0.0,0,no_match
Rutgers-Community Med Ctr,NJ,2023,RUTGERS-COMMUNITY MEDICAL CENTER,RUTGERS-COMMUNITY,,0.0,0,no_match
Rutgers-Cooperman Barnabas Med Ctr,NJ,2023,RUTGERS-COOPERMAN BARNABAS MEDICAL CENTER,RUTGERS-COOPERMAN BARNABAS,,0.0,0,no_match
Rutgers-Jersey City Med Ctr,NJ,2023,RUTGERS-JERSEY CITY MEDICAL CENTER,RUTGERS-JERSEY CITY,,0.0,0,no_match
Rutgers-Monmouth Med Ctr,NJ,2023,RUTGERS-MONMOUTH MEDICAL CENTER,RUTGERS-MONMOUTH,,0.0,0,no_match
Rutgers-Newark Beth Israel Med Ctr,NJ,2023,RUTGERS-NEWARK BETH ISRAEL MEDICAL CENTER,RUTGERS-NEWARK BETH ISRAEL,,0.0,0,no_match
Rutgers-R W Johnson Medical School,NJ,2023,RUTGERS-R W JOHNSON MEDICAL SCHOOL,,,0.0,0,no_match
Rutgers-RWJUH Somerset,NJ,2023,RUTGERS-RWJUH SOMERSET,,,0.0,0,no_match
Rutgers-Trinitas Med Ctr,NJ,2023,RUTGERS-TRINITAS MEDICAL CENTER,RUTGERS-TRINITAS,,0.0,0,no_match
SIU Carbondale,IL,2023,SIU CARBONDALE,,,0.0,0,no_match
SIU Decatur,IL,2023,SIU DECATUR,,,0.0,0,no_match
SIU SOM & Affil Hosps,IL,2023,SIU SOM & AFFIL HOSPS,,,0.0,0,no_match
SSM Health/St Louis Univ SOM,MO,2023,SSM HEALTH,,,0.0,0,no_match
SSM St Marys Hospital-St Louis,MO,2023,SSM SAINT MARYS HOSPITAL-SAINT LOUIS,SSM SAINT MARYS,,0.0,0,no_match
SUNY HSC Brooklyn,NY,2023,SUNY HSC BROOKLYN,,,0.0,0,no_match
SW Healthcare Med Ed Consortium,CA,2023,SW HEALTHCARE MED ED CONSORTIUM,SW HEALTHCARE MED ED,,0.0,0,no_match
Sam Houston State Univ COM,TX,2023,SAM HOUSTON STATE UNIVERSITY COM,,SAM HOUSTON STATE UNIVERSITY,707534.0,2,distinctive_tokens_with_state
Samaritan Health Services-Corvallis,OR,2023,SAMARITAN HEALTH SERVICES-CORVALLIS,,,0.0,0,no_match
Samaritan Med Ctr,NY,2023,SAMARITAN MEDICAL CENTER,SAMARITAN,,0.0,0,no_match
San Antonio Regional Hosp,CA,2023,SAN ANTONIO REGIONAL HOSP,SAN ANTONIO,,0.0,0,no_match
San Joaquin Gen Hosp,CA,2023,SAN JOAQUIN GEN HOSP,,,0.0,0,no_match
San Juan VA Med Ctr,PR,2023,SAN JUAN VETERANS AFFAIRS MEDICAL CENTER,SAN JUAN VETERANS AFFAIRS,,0.0,0,no_match
San Mateo Behavioral Hlth & Recovery Svcs,CA,2023,SAN MATEO BEHAVIORAL HLTH & RECOVERY SVCS,,,0.0,0,no_match
San Ysidro Health,CA,2023,SAN YSIDRO HEALTH,,,0.0,0,no_match
Santa Barbara Cottage Hosp,CA,2023,SANTA BARBARA COTTAGE HOSP,,,0.0,0,no_match
Santa Clara Valley Med Ctr,CA,2023,SANTA CLARA VALLEY MEDICAL CENTER,SANTA CLARA VALLEY,,0.0,0,no_match
Schwab Rehab Hosp,IL,2023,SCHWAB REHAB HOSP,,,0.0,0,no_match
Scripps Clinic/Green Hospital,CA,2023,SCRIPPS CLINIC,,,0.0,0,no_match
Scripps Mercy Hosp-Chula Vista,CA,2023,SCRIPPS MERCY HOSP-CHULA VISTA,,,0.0,0,no_match
Scripps Mercy Hosp-San Diego,CA,2023,SCRIPPS MERCY HOSP-SAN DIEGO,,,0.0,0,no_match
Sea Mar Community Health Ctrs,WA,2023,SEA MAR COMMUNITY HEALTH CTRS,,,0.0,0,no_match
Self Regional Healthcare,SC,2023,SELF REGIONAL HEALTHCARE,,,0.0,0,no_match
Shannon Medical Center,TX,2023,SHANNON MEDICAL CENTER,SHANNON,,0.0,0,no_match
Shasta Community Health Ctr,CA,2023,SHASTA COMMUNITY HEALTH CTR,,,0.0,0,no_match
Sierra View Med Ctr,CA,2023,SIERRA VIEW MEDICAL CENTER,SIERRA VIEW,,0.0,0,no_match
Sinai Hospital of Baltimore,MD,2023,SINAI HOSPITAL OF BALTIMORE,SINAI,,0.0,0,no_match
Siouxland Med Ed Fdn,IA,2023,SIOUXLAND MED ED FDN,,,0.0,0,no_match
Skagit Regional Health,WA,2023,SKAGIT REGIONAL HEALTH,SKAGIT,,0.0,0,no_match
South Baldwin Reg Med Ctr,AL,2023,SOUTH BALDWIN REG MEDICAL CENTER,SOUTH BALDWIN REG,,0.0,0,no_match
South Brooklyn Health.,NY,2023,SOUTH BROOKLYN HEALTH.,,,0.0,0,no_match
Southeast Health,AL,2023,SOUTHEAST HEALTH,,,0.0,0,no_match
Southern Regional AHEC,NC,2023,SOUTHERN REGIONAL AHEC,SOUTHERN,,0.0,0,no_match
Southern Winds Hospital,FL,2023,SOUTHERN WINDS HOSPITAL,SOUTHERN WINDS,,0.0,0,no_match
Sovah Health-Danville,VA,2023,SOVAH HEALTH-DANVILLE,,,0.0,0,no_match
Sparrow Hospital,MI,2023,SPARROW HOSPITAL,SPARROW,,0.0,0,no_match
Spartanburg Medical Center,SC,2023,SPARTANBURG MEDICAL CENTER,SPARTANBURG,SPARTANBURG REGIONAL MEDICAL CENTER,2740520.0,1,full_normalized_with_state
Spokane Teaching Health Ctr,WA,2023,SPOKANE TEACHING HEALTH CTR,,,0.0,0,no_match
St Agnes Hospital,MD,2023,SAINT AGNES HOSPITAL,SAINT AGNES,,0.0,0,no_match
St Agnes Med Ctr,CA,2023,SAINT AGNES MEDICAL CENTER,SAINT AGNES,,0.0,0,no_match
St Anthony Hospital,OK,2023,SAINT ANTHONY HOSPITAL,SAINT ANTHONY,,0.0,0,no_match
St Anthony Hospital North,CO,2023,SAINT ANTHONY HOSPITAL NORTH,SAINT ANTHONY,,0.0,0,no_match
St Barnabas Hosp,NY,2023,SAINT BARNABAS HOSP,,,0.0,0,no_match
St Bernards Med Ctr,AR,2023,SAINT BERNARDS MEDICAL CENTER,SAINT BERNARDS,,0.0,0,no_match
St Clair Health,PA,2023,SAINT CLAIR HEALTH,,,0.0,0,no_match
St Davids Healthcare GME,TX,2023,SAINT DAVIDS HEALTHCARE,,,0.0,0,no_match
St Elizabeth Health Ctr-Boardman,OH,2023,SAINT ELIZABETH HEALTH CTR-BOARDMAN,,,0.0,0,no_match
St Elizabeth Med Ctr,KY,2023,SAINT ELIZABETH MEDICAL CENTER,SAINT ELIZABETH,,0.0,0,no_match
St Elizabeth Youngstown Hosp,OH,2023,SAINT ELIZABETH YOUNGSTOWN HOSP,,,0.0,0,no_match
St Elizabeths Hospital/DBH,DC,2023,SAINT ELIZABETHS HOSPITAL,SAINT ELIZABETHS,,0.0,0,no_match
St Elizabeths Med Ctr,MA,2023,SAINT ELIZABETHS MEDICAL CENTER,SAINT ELIZABETHS,,0.0,0,no_match
St Francis Hospital,CT,2023,SAINT FRANCIS HOSPITAL,SAINT FRANCIS,,0.0,0,no_match
St Francis Med Ctr,LA,2023,SAINT FRANCIS MEDICAL CENTER,SAINT FRANCIS,,0.0,0,no_match
St Francis-Emory Healthcare,GA,2023,SAINT FRANCIS-EMORY HEALTHCARE,,,0.0,0,no_match
St Johns Riverside Hospital,NY,2023,SAINT JOHNS RIVERSIDE HOSPITAL,SAINT JOHNS RIVERSIDE,,0.0,0,no_match
St Joseph Hospital SCL Health,CO,2023,SAINT JOSEPH HOSPITAL SCL HEALTH,SAINT JOSEPH,,0.0,0,no_match
St Joseph Hospital-Eureka,CA,2023,SAINT JOSEPH HOSPITAL-EUREKA,SAINT JOSEPH,,0.0,0,no_match
St Josephs Health,NY,2023,SAINT JOSEPHS HEALTH,,,0.0,0,no_match
St Josephs Hospital,WA,2023,SAINT JOSEPHS HOSPITAL,SAINT JOSEPHS,,0.0,0,no_match
St Josephs Med Ctr,CA,2023,SAINT JOSEPHS MEDICAL CENTER,SAINT JOSEPHS,,0.0,0,no_match
St Josephs Reg Med Ctr,IN,2023,SAINT JOSEPHS REG MEDICAL CENTER,SAINT JOSEPHS REG,,0.0,0,no_match
St Josephs Univ Med Ctr,NJ,2023,SAINT JOSEPHS UNIVERSITY MEDICAL CENTER,SAINT JOSEPHS UNIVERSITY,,0.0,0,no_match
St Louis Childrens Hosp,MO,2023,SAINT LOUIS CHILDREN'S HOSP,,,0.0,0,no_match
St Louis Univ SOM,MO,2023,SAINT LOUIS UNIVERSITY SOM,,SAINT LOUIS UNIVERSITY,21041571.0,62,distinctive_tokens_with_state
St Lukes Hosp-Anderson,PA,2023,SAINT LUKES HOSP-ANDERSON,,,0.0,0,no_match
St Lukes Hosp-Bethlehem,PA,2023,SAINT LUKES HOSP-BETHLEHEM,,,0.0,0,no_match
St Lukes Hospital,OH,2023,SAINT LUKES HOSPITAL,SAINT LUKES,,0.0,0,no_match
St Lukes Hospital-St Louis,MO,2023,SAINT LUKES HOSPITAL-SAINT LOUIS,SAINT LUKES,,0.0,0,no_match
St Lukes Warren Hospital,NJ,2023,SAINT LUKES WARREN HOSPITAL,SAINT LUKES WARREN,,0.0,0,no_match
St Mary Med Ctr-Langhorne,PA,2023,SAINT MARY MEDICAL CENTER-LANGHORNE,SAINT MARY,,0.0,0,no_match
St Mary Med Ctr-Long Beach,CA,2023,SAINT MARY MEDICAL CENTER-LONG BEACH,SAINT MARY,,0.0,0,no_match
St Mary-Corwin Med Ctr,CO,2023,SAINT MARY-CORWIN MEDICAL CENTER,SAINT MARY-CORWIN,,0.0,0,no_match
St Marys Hospital,CT,2023,SAINT MARYS HOSPITAL,SAINT MARYS,,0.0,0,no_match
St Marys Med Ctr SCL Health,CO,2023,SAINT MARYS MEDICAL CENTER SCL HEALTH,SAINT MARYS,,0.0,0,no_match
St Peters University Hosp,NJ,2023,SAINT PETERS UNIVERSITY HOSP,,,0.0,0,no_match
St Vincent Charity Med Ctr,OH,2023,SAINT VINCENT CHARITY MEDICAL CENTER,SAINT VINCENT CHARITY,,0.0,0,no_match
St Vincent Hosp-Worcester,MA,2023,SAINT VINCENT HOSP-WORCESTER,,,0.0,0,no_match
St Vincents East,AL,2023,SAINT VINCENTS EAST,,,0.0,0,no_match
St Vincents Med Ctr,CT,2023,SAINT VINCENTS MEDICAL CENTER,SAINT VINCENTS,,0.0,0,no_match
Stamford Hospital/Columbia,CT,2023,STAMFORD HOSPITAL,STAMFORD,,0.0,0,no_match
Stanford Health Care,CA,2023,STANFORD HEALTH CARE,,,0.0,0,no_match
Stanford Health Care Tri-Valley,CA,2023,STANFORD HEALTH CARE TRI-VALLEY,,,0.0,0,no_match
Stanford Univ Progs,CA,2023,STANFORD UNIVERSITY PROGS,,,0.0,0,no_match
Steward Carney Hospital,MA,2023,STEWARD CARNEY HOSPITAL,STEWARD CARNEY,,0.0,0,no_match
Still OPTI-MCW/Prevea FMRP,WI,2023,STILL OPTI-MCW,,,0.0,0,no_match
Still OPTI-Northeast Reg Med Ctr,MO,2023,STILL OPTI-NORTHEAST REG MEDICAL CENTER,STILL OPTI-NORTHEAST REG,,0.0,0,no_match
Still OPTI-Peak Vista FMRP,CO,2023,STILL OPTI-PEAK VISTA FMRP,,,0.0,0,no_match
Stony Brook Teach Hosps,NY,2023,STONY BROOK TEACH HOSPS,,,0.0,0,no_match
Suburban Community Hosp,PA,2023,SUBURBAN COMMUNITY HOSP,,,0.0,0,no_match
Summa Health/NEOMED,OH,2023,SUMMA HEALTH,,,0.0,0,no_match
Summerville Med Ctr,SC,2023,SUMMERVILLE MEDICAL CENTER,SUMMERVILLE,,0.0,0,no_match
Sunrise Health GME Consortium,NV,2023,SUNRISE HEALTH CONSORTIUM,SUNRISE HEALTH,,0.0,0,no_match
Sutter Health,CA,2023,SUTTER HEALTH,,,0.0,0,no_match
Sutter Med Ctr of Santa Rosa,CA,2023,SUTTER MEDICAL CENTER OF SANTA ROSA,SUTTER,,0.0,0,no_match
Swedish Hospital,IL,2023,SWEDISH HOSPITAL,SWEDISH,,0.0,0,no_match
Swedish Med Ctr,WA,2023,SWEDISH MEDICAL CENTER,SWEDISH,"SWEDISH MEDICAL CENTER, FIRST HILL",2751225.0,2,full_normalized_with_state
Syracuse Community Health,NY,2023,SYRACUSE COMMUNITY HEALTH,,,0.0,0,no_match
TIGMER,TX,2023,TIGMER,,,0.0,0,no_match
TJU/Nemours Childrens Health,PA,2023,TJU,,,0.0,0,no_match
Tacoma Family Med,WA,2023,TACOMA FAMILY MED,,,0.0,0,no_match
Tallahassee Mem Healthcare,FL,2023,TALLAHASSEE MEMORIAL HEALTHCARE,TALLAHASSEE,,0.0,0,no_match
Temple Univ Hosp,PA,2023,TEMPLE UNIVERSITY HOSP,,,0.0,0,no_match
Temple Univ/Chestnut Hill Hosp,PA,2023,TEMPLE UNIVERSITY,,,0.0,0,no_match
Temple Univ/Fox Chase Cancer Ctr,PA,2023,TEMPLE UNIVERSITY,,,0.0,0,no_match
Texoma Med Ctr,TX,2023,TEXOMA MEDICAL CENTER,TEXOMA,,0.0,0,no_match
The MetroHealth Sys/Case Western,OH,2023,THE METROHEALTH SYS,,,0.0,0,no_match
Thomas Hospital,AL,2023,THOMAS HOSPITAL,THOMAS,,0.0,0,no_match
Thomas Jefferson Univ,PA,2023,THOMAS JEFFERSON UNIVERSITY,,THOMAS JEFFERSON UNIVERSITY,71544010.0,167,full_normalized_with_state
Tidelands Health,SC,2023,TIDELANDS HEALTH,,,0.0,0,no_match
Tower Health/Brandywine Hosp,PA,2023,TOWER HEALTH,,,0.0,0,no_match
Tower Health/Chestnut Hill Hosp,PA,2023,TOWER HEALTH,,,0.0,0,no_match
Tower Health/Drexel Univ COM,PA,2023,TOWER HEALTH,,,0.0,0,no_match
Tower Health/Phoenixville Hosp,PA,2023,TOWER HEALTH,,,0.0,0,no_match
Tower Health/Reading Hospital,PA,2023,TOWER HEALTH,,,0.0,0,no_match
Tower Health/St Christophers Hosp,PA,2023,TOWER HEALTH,,,0.0,0,no_match
Tri-County Commission ADA,SC,2023,TRI-COUNTY COMMISSION ADA,,,0.0,0,no_match
Trident Medical Center,SC,2023,TRIDENT MEDICAL CENTER,TRIDENT,,0.0,0,no_match
Trinity Health Ann Arbor Hosp,MI,2023,TRINITY HEALTH ANN ARBOR HOSP,,,0.0,0,no_match
Trinity Health Grand Rapids,MI,2023,TRINITY HEALTH GRAND RAPIDS,,,0.0,0,no_match
Trinity Health Livingston Hosp,MI,2023,TRINITY HEALTH LIVINGSTON HOSP,,,0.0,0,no_match
Trinity Health Livonia Hosp,MI,2023,TRINITY HEALTH LIVONIA HOSP,,,0.0,0,no_match
Trinity Health Muskegon,MI,2023,TRINITY HEALTH MUSKEGON,,,0.0,0,no_match
Trinity Health Oakland,MI,2023,TRINITY HEALTH OAKLAND,,,0.0,0,no_match
Trinity Health System,OH,2023,TRINITY HEALTH SYSTEM,TRINITY,,0.0,0,no_match
Trios Health,WA,2023,TRIOS HEALTH,,,0.0,0,no_match
Tripler Army Med Ctr,HI,2023,TRIPLER ARMY MEDICAL CENTER,TRIPLER ARMY,,0.0,0,no_match
Tucson Hospitals Med Ed,AZ,2023,TUCSON HOSPITALS MED ED,TUCSON,,0.0,0,no_match
Tufts Medical Center,MA,2023,TUFTS MEDICAL CENTER,TUFTS,TUFTS MEDICAL CENTER,27526357.0,47,full_normalized_with_state
Tulane Univ SOM,LA,2023,TULANE UNIVERSITY SOM,,,0.0,0,no_match
U Cincinnati Med Ctr,OH,2023,UNIVERSITY CINCINNATI MEDICAL CENTER,UNIVERSITY CINCINNATI,UNIVERSITY OF CINCINNATI,94899512.0,216,parent_institution_with_state
U Cincinnati West Chester Hosp,OH,2023,UNIVERSITY CINCINNATI WEST CHESTER HOSP,,,0.0,0,no_match
U Louisville SOM,KY,2023,UNIVERSITY LOUISVILLE SOM,,,0.0,0,no_match
U Miami MSOM/Holy Cross,FL,2023,UNIVERSITY MIAMI MSOM,,,0.0,0,no_match
U Miami/Jackson Health System,FL,2023,UNIVERSITY MIAMI,,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,216120964.0,422,full_normalized_with_state
U Rochester/Strong Memorial,NY,2023,UNIVERSITY ROCHESTER,,UNIVERSITY OF ROCHESTER,215401020.0,497,full_normalized_with_state
U Washington Boise,ID,2023,UNIVERSITY WASHINGTON BOISE,,,0.0,0,no_match
U Washington Soldotna,AK,2023,UNIVERSITY WASHINGTON SOLDOTNA,,,0.0,0,no_match
UAB Selma Fam Med Res,AL,2023,UAB SELMA FAM MED RES,,,0.0,0,no_match
UAMS Regional Centers,AR,2023,UAMS REGIONAL CENTERS,,,0.0,0,no_match
UC Davis Med Ctr,CA,2023,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,UNIVERSITY OF CALIFORNIA DAVIS,UNIVERSITY OF CALIFORNIA AT DAVIS,328749563.0,694,parent_institution_with_state
UC Irvine Med Ctr,CA,2023,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,UNIVERSITY OF CALIFORNIA IRVINE,,0.0,0,no_match
UC Riverside SOM,CA,2023,UNIVERSITY OF CALIFORNIA RIVERSIDE SOM,,UNIVERSITY OF CALIFORNIA RIVERSIDE,38463760.0,113,distinctive_tokens_with_state
UC San Diego Med Ctr,CA,2023,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,UNIVERSITY OF CALIFORNIA SAN DIEGO,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",629330104.0,1233,parent_institution_with_state
UC San Francisco,CA,2023,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",898876696.0,1773,full_normalized_with_state
UC San Francisco-East Bay,CA,2023,UNIVERSITY OF CALIFORNIA SAN FRANCISCO-EAST BAY,,,0.0,0,no_match
UC San Francisco-Fresno,CA,2023,UNIVERSITY OF CALIFORNIA SAN FRANCISCO-FRESNO,,,0.0,0,no_match
UCLA Med Ctr,CA,2023,UCLA MEDICAL CENTER,,,0.0,0,no_match
UCLA Semel Inst for Neuroscience,CA,2023,UCLA SEMEL INST FOR NEUROSCIENCE,,,0.0,0,no_match
UHS-Wilson Med Ctr,NY,2023,UHS-WILSON MEDICAL CENTER,UHS-WILSON,,0.0,0,no_match
UIC/Metro Group Hospitals,IL,2023,UIC,,,0.0,0,no_match
UIC/Mt Sinai Hosp Med Ctr,IL,2023,UIC,,,0.0,0,no_match
UMass Chan - Baystate,MA,2023,UMASS CHAN - BAYSTATE,,,0.0,0,no_match
UMass Chan Medical School,MA,2023,UMASS CHAN MEDICAL SCHOOL,,,0.0,0,no_match
UNC Health Blue Ridge,NC,2023,UNC HEALTH BLUE RIDGE,,,0.0,0,no_match
UP Health System-Marquette,MI,2023,UP HEALTH SYSTEM-MARQUETTE,,,0.0,0,no_match
UPMC Altoona Hospital,PA,2023,UPMC ALTOONA HOSPITAL,UPMC ALTOONA,,0.0,0,no_match
UPMC Hamot Med Ctr,PA,2023,UPMC HAMOT MEDICAL CENTER,UPMC HAMOT,,0.0,0,no_match
UPMC Harrisburg,PA,2023,UPMC HARRISBURG,,,0.0,0,no_match
UPMC Lititz,PA,2023,UPMC LITITZ,,,0.0,0,no_match
